9.5780696869 -2.4454276562 9.8455381393 -1.2307679653 -9.8392705917 2.7756090164 0.1579447687 2.7536306381 1.3912672997 10.2211847305 -3.0771949291 8.7716760635 9.9428377151 2.5534279346 -16.9649295807 1.0602600574 -10.7149839401 8.5958995819 4.0263490677 0.9151662588 -0.4260235131 -16.4054794312 1.3664741516 -0.7125124931 -7.4617972374 11.9400615692 -1.4768270254 -0.612264812 14.5206079483 2.4234681129 11.9067687988 -10.294002533 -5.1533741951 -2.1138606071 -17.9377593994 3.2949700356 -8.087647438 3.3238935471 12.9783573151 2.7742958069 -4.0124015808 -0.7281305194 8.6763134003 4.8853445053 4.6865496635 0.422586143 -5.707690239 11.4941225052 -3.5455329418 17.4422626495 16.4471912384 8.0452814102 6.5857157707 -7.0279626846 -3.3004386425 -4.2564554214 -8.0124816895 2.0255241394 -12.527338028 3.9681999683 -8.8614673615 14.1255016327 -20.7651062012 -0.7850056291 -7.3260092735 -0.8849452138 -1.8351432085 8.5853281021 -18.3806362152 -6.6998991966 0.5096173286 -0.2774139345 2.2244670391 -6.873336792 3.4747989178 -1.9890910387 -0.0220786706 -6.1040215492 -4.2455673218 -4.3969783783 -14.8562164307 10.4458646774 4.9631414413 5.595849514 2.0337159634 9.0279521942 2.6386032104 -1.7359437943 -3.3937003613 -17.6470832825 3.1872677803 3.7381362915 17.3526325226 -1.3743553162 4.4283485413 -6.3667898178 -17.6732387543 4.6175098419 -16.5659637451 -8.034072876  7203.3223064214 84.8723883629 -0.2242103482 
10.2225294113 18.9126930237 -13.6141090393 -17.3047008514 -3.1248924732 1.7165423632 -10.7178678513 -13.5887079239 -1.371762991 18.2828559875 -16.7648200989 -7.1969194412 3.0232400894 -4.6603813171 -2.7445192337 12.3918151855 10.1726732254 -17.5346641541 7.4847493172 -7.2842392921 -2.0935721397 3.6863646507 -6.7064976692 9.3626098633 -2.5125391483 -4.732583046 -6.4032239914 6.212369442 6.9677081108 -7.8770337105 -7.6060204506 -11.549618721 -21.1269340515 15.5805921555 19.3806419373 2.0991597176 -2.4651784897 -10.4341678619 1.7204961777 18.4449005127 13.0738067627 4.6165452003 -10.4021854401 -8.3105716705 1.0165483952 -0.6765882969 -19.247385025 7.6575937271 -1.3680998087 16.9876155853 4.2817707062 -2.1205918789 9.8177185059 4.3108716011 1.4485094547 -8.018787384 20.2292232513 -3.8880262375 -1.3597916365 7.8034930229 -9.0114145279 11.6455163956 -17.1165142059 -6.0261650085 -6.9101090431 1.9734084606 3.9851360321 -3.461042881 -7.6838707924 15.7663259506 5.2839326859 -2.6980171204 4.7063713074 -0.6709116101 18.314245224 -2.0256173611 -7.4596805573 -4.8142895699 -0.6632990837 -1.6453887224 6.7525515556 2.4959146976 -9.0325088501 5.745777607 -8.2833251953 -12.4693279266 -6.2299957275 -8.3532934189 4.1090698242 -4.4543151855 -10.1686973572 -12.1861934662 13.2893571854 6.9400629997 -9.8299894333 -3.1886456013 -11.3504600525 2.5246787071 10.1333408356 -2.4185986519  9285.6067959891 96.3618534275 -0.5238732582 
-0.3675374091 -1.7890605927 -0.9768950343 1.5961840153 3.2077932358 8.20266819 -1.5573608875 14.5463161469 18.9159965515 7.1080217361 -13.1449804306 16.7361793518 -3.1189823151 9.1453504562 -14.0687990189 -15.854678154 0.2013752908 9.5867099762 3.6202259064 1.6417521238 11.1806325912 -11.8852157593 -3.5939033031 -3.4363071918 2.5620496273 -13.5638504028 -20.4523143768 14.0211935043 -12.0514822006 11.6911792755 -2.5522866249 -0.1037975624 -2.7424337864 10.6985912323 -2.3000907898 0.8108839989 -1.8666242361 -12.5165081024 -16.2110958099 -2.0122423172 15.9534950256 3.0222332478 13.5484008789 8.0506620407 13.3843202591 15.3905658722 5.9677476883 -6.7612996101 7.6148033142 -0.7490605712 -4.3542442322 14.5683231354 -11.7482461929 6.9106602669 -5.1638021469 -0.0034523495 -15.6085577011 -4.9079198837 -26.7693481445 16.8386287689 -17.530412674 2.2917017937 -3.8888378143 -6.1280355453 14.5966587067 5.4503545761 -5.1096696854 -2.0221054554 -2.4568293095 14.5186061859 22.9916667938 10.5393600464 9.537563324 3.1438500881 4.6922979355 -21.0465774536 -5.9450087547 -7.8572974205 0.2660964727 -3.9168324471 -13.2437009811 -11.1984138489 -28.6076984406 6.9786229134 11.1009454727 -1.7223368883 1.0428804159 15.6349592209 -10.0972576141 16.8678379059 3.9566209316 -3.8065261841 -7.9822702408 -21.30078125 -2.3471400738 -6.7137317657 4.8249936104 -2.0082876682 -7.6563448906 -4.922399044  11336.7624299636 106.4742336435 -0.1458291249 
8.9101657867 -11.625333786 2.7785573006 1.7784593105 -6.4638643265 -0.5818908811 4.2059454918 9.5368328094 9.7124204636 4.3923163414 0.1688154936 2.2187428474 2.2954945564 12.0273160934 -3.5543730259 0.1614416838 -4.5770153999 -15.1425895691 -0.9894450903 3.9703428745 7.066054821 -11.4797067642 -6.8174071312 -5.2100019455 9.2436552048 6.3668785095 14.4705982208 8.905506134 -9.3406352997 12.7767105103 2.6513440609 1.0801019669 0.9073811173 3.0225760937 -4.2747335434 -6.9726567268 -22.4262313843 -5.3951950073 4.8266582489 4.0926098824 -12.9455137253 -3.6936953068 -13.8370552063 3.2523155212 1.8211764097 4.9229741096 -6.4962649345 2.1534614563 -2.1189036369 -7.8213233948 -16.256067276 6.6470446587 -4.8158764839 7.6964673996 2.7178263664 -0.7529764175 0.2136034369 0.6294721961 6.1552801132 0.091023609 7.6772451401 6.0859751701 7.8574957848 -0.7250669599 7.4553117752 6.1552658081 -4.141919136 -17.608455658 8.4295349121 11.4873857498 18.3168144226 9.0245323181 4.9387364388 -10.8655252457 1.5306478739 -11.130613327 11.7219057083 -9.9342689514 -5.1120023727 5.9879751205 -13.1392145157 -1.5401456356 -10.1480722427 4.8946657181 -7.8265414238 -2.8587603569 -5.8385043144 1.6016219854 18.4942703247 20.6773891449 -2.2240262032 -6.4188246727 -5.3736801147 -4.3426809311 6.7093677521 3.2641427517 8.3615579605 5.2382006645 0.953520298 -14.9839859009  6878.0923425393 82.9342651896 0.329300897 
9.4230527878 -7.9254608154 -6.3711147308 -9.2895450592 -3.1622889042 -0.4788190424 -5.7116641998 -11.3357124329 9.6725978851 7.9206695557 -0.228688404 3.8493337631 11.9586277008 7.2145814896 -4.8969678879 -5.4200553894 -1.0589479208 5.9938063622 -6.1372175217 -7.244720459 -1.6726316214 -1.5804303885 16.1439990997 -11.2592353821 -9.0102243423 -5.8611497879 -0.5768072009 1.4601104259 4.7492637634 -2.5451610088 2.8093113899 8.2807664871 -10.8104944229 3.8014528751 -3.3213586807 2.0161082745 7.620572567 6.5779953003 0.2481281161 -4.7366566658 -5.94581604 3.7623131275 -1.3201961517 6.3142380714 -10.4748134613 -10.8706207275 -2.1362285614 -3.9283802509 -0.0260387417 1.6447477341 7.14077425 -4.0484876633 0.6870492101 2.8665802479 -3.3545339108 -5.3186950684 -8.0655813217 -4.9215955734 0.1039295197 5.7403154373 2.3386845589 -0.5948440433 -4.2359051704 7.8327579498 4.2729616165 -1.7967379093 9.9777603149 -7.6342430115 5.7397589684 -1.2023738623 -1.2462755442 -0.4993329048 -0.5255827308 -15.7672014236 8.4686965942 -7.6116819382 -4.4276666641 0.4311517477 -7.1572198868 -9.3327770233 2.4055478573 -3.8918941021 -5.3878602982 1.2494668961 8.0431728363 16.9459629059 -2.7106854916 -2.8292605877 8.7088327408 -8.6489944458 3.8327181339 3.528742075 10.4819135666 -4.6513619423 0.0376424193 1.812032938 -13.2500638962 10.2456474304 -11.998717308 -6.5183529854  4498.2364727966 67.0688934812 -0.5861159592 
-0.5294329524 18.3363647461 1.336998105 -1.5463920832 10.5430526733 8.2849912643 -12.6413125992 -3.7859072685 10.0005712509 17.4889602661 -0.9647581577 18.618976593 8.6699314117 -6.8000617027 -9.1257915497 8.614730835 1.7353383303 -22.4585494995 0.9725963473 1.8270940781 -6.3352513313 -11.5631790161 10.1841945648 8.697013855 -7.5854854584 -0.3841013908 -19.0261058807 1.5329810381 7.4609351158 -2.4748337269 3.5709345341 0.0336505249 -6.6635084152 -6.2285752296 12.4979333878 10.6188268661 -7.7235741615 -2.527985096 -11.2442846298 15.1241674423 12.0676412582 8.0857086182 10.1803321838 8.2634458542 -17.0501060486 13.5198478699 -4.6189832687 -7.7647900581 8.9803905487 -1.5415728092 3.733471632 3.9997093678 -7.7724924088 4.284787178 -25.0652351379 7.5404434204 4.8257260323 -8.8502349854 -0.2655566335 13.161570549 3.8234927654 -2.767513752 -15.145026207 14.4356527328 13.6901760101 -0.8107766509 -4.4284734726 -12.9497089386 2.8756427765 11.8345518112 3.9595136642 4.6433486938 1.9118211269 2.5224676132 8.4470558167 3.4211390018 -15.8249092102 3.4308745861 9.9031887054 0.4125365317 -20.7846946716 10.9586839676 9.2106733322 5.9925532341 -0.4788292646 -14.1452732086 -10.8623065948 13.0872116089 -4.7771482468 9.129901886 -6.6401228905 -3.3163568974 7.4009337425 13.006734848 12.0297546387 4.4172544479 -10.9695806503 -2.74913764 -17.3276386261 -2.5990452766  9572.8969605375 97.8411823341 0.8622387759 
-5.1440849304 9.5615158081 -14.1543922424 -1.6778063774 9.2601575851 -0.0639999732 4.1063199043 1.4374302626 8.3681211472 9.0669879913 2.2203369141 9.7213878632 7.1523046494 -4.1832847595 -3.5682470798 7.4788808823 -5.2133622169 4.8435401917 -4.5667500496 -3.2409441471 -6.4234671593 3.3987700939 -0.3964703977 3.8882367611 5.5723714828 -3.0338134766 -25.6017436981 -2.1092405319 -0.838698566 7.1059136391 6.2712101936 1.0362648964 12.9864311218 -2.5653493404 14.6672210693 -5.0693864822 -8.1931667328 -4.3647384644 -1.0336375237 -1.9789851904 -0.0986593664 4.7010412216 3.7484695911 -8.6546802521 5.5390548706 -12.9019107819 1.4152452946 4.4107084274 -2.2256093025 -3.0923745632 -12.1796770096 4.121243 -19.8042564392 8.9572505951 -12.6972980499 10.7674837112 -3.375328064 2.2521464825 -5.5801177025 8.340221405 3.8831939697 -1.2626094818 -0.091694504 0.0373754017 -7.8705749512 -3.4536426067 6.4973306656 1.0290652514 -9.6407709122 -2.5328276157 10.7618341446 30.3880558014 6.4807448387 -5.1163764 8.2932338715 -10.1065740585 21.510351181 -2.6650285721 -12.2030611038 5.4791283607 -3.6135323048 -7.0323777199 -16.1509609222 2.2393393517 -4.7631196976 1.1555935144 -7.1499052048 -6.3978352547 11.4818487167 -0.7697557211 -5.9259734154 -6.4680895805 7.7124657631 -8.2983179092 2.8049640656 18.1101875305 2.1302168369 -8.8667192459 8.5968875885 -10.6520309448  7188.8757903156 84.7872383694 0.0592482491 
20.2482585907 5.4581036568 -13.6722974777 -7.2858119011 -1.452644825 -2.2254152298 -8.4567899704 10.3353805542 9.1913843155 -7.9480538368 5.3136267662 -0.3566522002 5.8547501564 0.4081638753 5.8965392113 -6.209962368 3.2388825417 1.3525468111 1.8526796103 -1.0654331446 3.9541959763 0.5086063743 -1.4568792582 -24.1233406067 -2.3106942177 18.3846588135 2.4672806263 -1.4736495018 11.0383911133 -10.7153568268 4.0873880386 1.2717077732 1.6242855787 -4.369530201 2.8626914024 12.641752243 16.3529243469 -18.5989933014 5.6982784271 -14.0137081146 -8.9848146439 -0.8617953658 -19.5360183716 10.047287941 2.8461840153 -9.9968767166 1.2211316824 17.8891372681 7.6982235909 -5.3944892883 14.0099420547 4.2700052261 4.8054065704 0.7235898376 -20.7633399963 0.8942860961 -5.6089644432 4.5257978439 8.3442525864 0.55956918 -9.6447696686 18.7862529755 8.4534225464 0.7364405394 1.4265540838 -0.5002052188 1.8759716749 17.3065280914 -2.0415811539 7.8549027443 14.2830591202 9.3212184906 -5.6200447083 6.4257349968 11.3705444336 -6.7755560875 -13.0737285614 9.4163570404 -1.2555981874 17.9367713928 -12.2154359818 11.5517625809 -22.6767883301 11.1075630188 -0.3043032885 -10.5751628876 9.6324129105 0.1707432419 4.8403863907 -15.1113109589 -13.4066419601 8.6516132355 -1.3163321018 3.110575676 0.9426659942 12.8478136063 -12.5177974701 19.0424613953 -13.7345590591 10.1286373138  9908.5395595123 99.5416473619 1.0744635676 
8.5476703644 -0.6683878899 -7.0477924347 -12.340098381 -15.8178195953 1.457408905 -4.5934538841 1.960113883 7.0569043159 -0.6796572208 14.228603363 3.9276547432 5.4770846367 -4.1815514565 -11.3228225708 -0.9110719562 0.0537383184 -0.2488308847 -11.925526619 10.5162849426 2.9346475601 -9.511631012 1.8341577053 -5.4738526344 -5.1947546005 4.0071020126 0.655412972 -0.5235540271 25.5452156067 0.6088521481 8.0830755234 -0.7271712422 -13.3091669083 3.0444710255 -2.2728710175 14.6607284546 9.0657482147 -1.2793565989 1.9754171371 -18.3645877838 -13.1864748001 -1.5394591093 -18.3892211914 3.6370975971 -7.3946857452 -4.8356194496 10.0122432709 7.5322623253 -5.9288802147 0.5823819041 -0.1901374757 10.8452682495 3.8758473396 -11.4964075089 -11.3898773193 -8.7913427353 -2.565464735 1.9722645283 7.2038078308 -11.8665857315 -1.0283498764 8.0598564148 -9.7404899597 11.3810024261 -15.0340833664 -4.2050685883 -0.7452408075 7.4549279213 -7.474875927 9.8760471344 0.1682763994 0.291104883 1.7114459276 -8.8478393555 -2.9581296444 1.2809466124 -6.7089781761 -0.0932265967 19.8074550629 -6.2697639465 -13.1556138992 13.7745437622 5.3538827896 10.2603263855 -10.3591518402 3.3715054989 -1.8985972404 -5.9171028137 10.2764492035 -7.0562720299 1.5058454275 2.7907576561 3.0985341072 -2.6764578819 -7.7531700134 6.3343758583 -25.0582103729 13.8916397095 -16.2104663849 6.2447485924  7821.146309718 88.4372450369 -0.689240668 
1.2309764624 8.0681495667 -6.1171898842 0.7448003888 -14.1008577347 -5.402384758 -11.4205617905 5.7835063934 4.4811415672 12.6423273087 16.8887138367 -4.3015775681 0.3469083309 4.9511499405 2.2264666557 -1.1802637577 -7.0748786926 -6.9949197769 0.847224772 7.6474161148 6.8487677574 -14.0186424255 -3.6035237312 -0.294325918 8.8360099792 13.249751091 3.360440731 9.6499681473 5.2374358177 8.8533935547 -10.9694690704 -3.1499884129 7.893225193 4.86703825 4.0229692459 -2.2545874119 3.2046597004 -7.6635241508 -3.5516061783 0.6062576771 -2.1042861938 6.5924510956 -2.5398199558 4.5078577995 -4.756289959 -9.1899843216 -11.5353755951 5.0787935257 -1.0525761843 -1.2888212204 6.8676681519 13.0925531387 2.2736642361 -0.4532489479 7.6125655174 6.4702339172 -1.0999977589 -10.6894712448 4.1632609367 24.189043045 -3.9568531513 -1.7865824699 2.9748628139 4.1385536194 7.3045554161 9.0697021484 -2.9029922485 7.017718792 -9.9844770432 -3.4418890476 -0.7414337993 10.3092861176 14.5056304932 -0.6640432477 8.9876298904 -8.5911054611 -7.2362847328 -19.0448951721 -0.8292319179 4.2559318542 -4.4271221161 2.3773999214 -8.8589172363 9.7881269455 5.5144371986 4.3797574043 -8.1322383881 15.1317176819 3.1882824898 -1.3187865019 -9.9864349365 -11.0410652161 -8.148727417 -10.5033416748 1.2237195969 -1.5571990013 -8.1294984818 16.8265037537 -1.8736368418 -2.9634037018  6169.9197007731 78.5488364062 0.6740227354 
