10 4.270221
11 4.263032
12 4.257834
13 4.254014
14 4.251159
15 4.248987
16 4.247303
17 4.245974
18 4.244906
19 4.244032
20 4.243308
21 4.242699
22 4.242183
23 4.241742
24 4.241365
25 4.241041
26 4.240762
27 4.240522
28 4.240316
29 4.240139
30 4.239987
31 4.239856
32 4.239743
33 4.239646
34 4.239562
35 4.239489
36 4.239426
37 4.239371
38 4.239324
39 4.239282
40 4.239246
41 4.239214
42 4.239186
43 4.239162
44 4.239140
45 4.239121
46 4.239104
47 4.239089
48 4.239076
49 4.239064
50 4.239054
51 4.239044
52 4.239035
53 4.239027
54 4.239020
55 4.239014
56 4.239008
57 4.239003
58 4.238998
59 4.238994
60 4.238990
61 4.238986
62 4.238983
63 4.238980
64 4.238978
65 4.238975
66 4.238973
67 4.238971
68 4.238969
69 4.238968
70 4.238966
71 4.238965
72 4.238964
73 4.238962
74 4.238961
75 4.238960
76 4.238960
77 4.238959
78 4.238958
79 4.238958
80 4.238957
81 4.238956
82 4.238956
83 4.238955
84 4.238955
85 4.238955
86 4.238954
87 4.238954
88 4.238954
89 4.238953
90 4.238953
91 4.238953
92 4.238953
93 4.238953
94 4.238952
95 4.238952
96 4.238952
97 4.238952
98 4.238952
99 4.238952
100 4.238952

